Vardas            Pavarde           Galutinis (vidurkis)     
Vardas35344       Pavarde35344      2.94                     
Vardas35347       Pavarde35347      3.11                     
Vardas35349       Pavarde35349      3.51                     
Vardas35352       Pavarde35352      4.51                     
Vardas35353       Pavarde35353      3.63                     
Vardas35359       Pavarde35359      4.57                     
Vardas35362       Pavarde35362      3.91                     
Vardas35363       Pavarde35363      4.49                     
Vardas35364       Pavarde35364      4.71                     
Vardas35367       Pavarde35367      4.00                     
Vardas35368       Pavarde35368      4.31                     
Vardas35371       Pavarde35371      4.60                     
Vardas35372       Pavarde35372      4.17                     
Vardas35373       Pavarde35373      3.26                     
Vardas35377       Pavarde35377      3.40                     
Vardas35378       Pavarde35378      3.17                     
Vardas35382       Pavarde35382      2.54                     
Vardas35384       Pavarde35384      3.97                     
Vardas35385       Pavarde35385      4.43                     
Vardas35386       Pavarde35386      4.80                     
Vardas35390       Pavarde35390      3.31                     
Vardas35391       Pavarde35391      4.74                     
Vardas35392       Pavarde35392      4.97                     
Vardas35401       Pavarde35401      4.89                     
Vardas35404       Pavarde35404      2.20                     
Vardas35405       Pavarde35405      3.00                     
Vardas35407       Pavarde35407      3.31                     
Vardas35408       Pavarde35408      3.97                     
Vardas35410       Pavarde35410      3.00                     
Vardas35412       Pavarde35412      4.14                     
Vardas35415       Pavarde35415      3.43                     
Vardas35416       Pavarde35416      2.77                     
Vardas35419       Pavarde35419      3.29                     
Vardas35420       Pavarde35420      4.34                     
Vardas35425       Pavarde35425      2.54                     
Vardas35430       Pavarde35430      2.63                     
Vardas35434       Pavarde35434      3.71                     
Vardas35437       Pavarde35437      4.80                     
Vardas35440       Pavarde35440      4.34                     
Vardas35443       Pavarde35443      4.97                     
Vardas35444       Pavarde35444      2.89                     
Vardas35445       Pavarde35445      3.89                     
Vardas35453       Pavarde35453      4.31                     
Vardas35460       Pavarde35460      2.14                     
Vardas35461       Pavarde35461      3.49                     
Vardas35462       Pavarde35462      4.94                     
Vardas35469       Pavarde35469      3.11                     
Vardas35470       Pavarde35470      4.97                     
Vardas35471       Pavarde35471      2.54                     
Vardas35474       Pavarde35474      2.66                     
Vardas35478       Pavarde35478      3.26                     
Vardas35480       Pavarde35480      3.94                     
Vardas35482       Pavarde35482      3.51                     
Vardas35483       Pavarde35483      4.26                     
Vardas35485       Pavarde35485      4.46                     
Vardas35487       Pavarde35487      4.37                     
Vardas35494       Pavarde35494      4.14                     
Vardas35495       Pavarde35495      3.60                     
Vardas35497       Pavarde35497      3.37                     
Vardas35499       Pavarde35499      2.60                     
Vardas35505       Pavarde35505      2.86                     
Vardas35506       Pavarde35506      3.94                     
Vardas35509       Pavarde35509      4.06                     
Vardas35511       Pavarde35511      2.94                     
Vardas35512       Pavarde35512      3.20                     
Vardas35514       Pavarde35514      2.49                     
Vardas35515       Pavarde35515      3.34                     
Vardas35516       Pavarde35516      3.97                     
Vardas35518       Pavarde35518      3.43                     
Vardas35519       Pavarde35519      4.86                     
Vardas35521       Pavarde35521      3.20                     
Vardas35525       Pavarde35525      4.66                     
Vardas35527       Pavarde35527      3.23                     
Vardas35529       Pavarde35529      2.80                     
Vardas35530       Pavarde35530      2.09                     
Vardas35532       Pavarde35532      3.80                     
Vardas35533       Pavarde35533      4.60                     
Vardas35535       Pavarde35535      4.77                     
Vardas35537       Pavarde35537      2.74                     
Vardas35538       Pavarde35538      4.29                     
Vardas35539       Pavarde35539      4.00                     
Vardas35540       Pavarde35540      4.60                     
Vardas35545       Pavarde35545      2.54                     
Vardas35546       Pavarde35546      4.40                     
Vardas35549       Pavarde35549      3.97                     
Vardas35550       Pavarde35550      2.71                     
Vardas35551       Pavarde35551      3.46                     
Vardas35559       Pavarde35559      2.57                     
Vardas35560       Pavarde35560      3.46                     
Vardas35562       Pavarde35562      4.57                     
Vardas35563       Pavarde35563      3.86                     
Vardas35564       Pavarde35564      4.37                     
Vardas35567       Pavarde35567      4.00                     
Vardas35568       Pavarde35568      3.37                     
Vardas35574       Pavarde35574      4.94                     
Vardas35575       Pavarde35575      4.26                     
Vardas35576       Pavarde35576      2.83                     
Vardas35580       Pavarde35580      2.94                     
Vardas35582       Pavarde35582      3.43                     
Vardas35585       Pavarde35585      2.26                     
Vardas35588       Pavarde35588      2.71                     
Vardas35591       Pavarde35591      3.17                     
Vardas35592       Pavarde35592      2.71                     
Vardas35594       Pavarde35594      4.94                     
Vardas35596       Pavarde35596      4.11                     
Vardas35597       Pavarde35597      2.60                     
Vardas35601       Pavarde35601      3.69                     
Vardas35606       Pavarde35606      2.74                     
Vardas35608       Pavarde35608      3.86                     
Vardas35609       Pavarde35609      2.86                     
Vardas35610       Pavarde35610      3.43                     
Vardas35611       Pavarde35611      3.97                     
Vardas35612       Pavarde35612      4.74                     
Vardas35613       Pavarde35613      4.71                     
Vardas35614       Pavarde35614      3.43                     
Vardas35616       Pavarde35616      4.23                     
Vardas35617       Pavarde35617      3.71                     
Vardas35621       Pavarde35621      4.46                     
Vardas35623       Pavarde35623      2.77                     
Vardas35624       Pavarde35624      2.26                     
Vardas35627       Pavarde35627      4.74                     
Vardas35628       Pavarde35628      4.03                     
Vardas35632       Pavarde35632      2.49                     
Vardas35635       Pavarde35635      4.20                     
Vardas35636       Pavarde35636      4.29                     
Vardas35637       Pavarde35637      4.40                     
Vardas35640       Pavarde35640      3.29                     
Vardas35649       Pavarde35649      4.34                     
Vardas35650       Pavarde35650      3.63                     
Vardas35654       Pavarde35654      2.37                     
Vardas35661       Pavarde35661      3.09                     
Vardas35663       Pavarde35663      4.54                     
Vardas35664       Pavarde35664      2.94                     
Vardas35665       Pavarde35665      3.26                     
Vardas35667       Pavarde35667      4.69                     
Vardas35668       Pavarde35668      3.71                     
Vardas35669       Pavarde35669      4.94                     
Vardas35671       Pavarde35671      3.29                     
Vardas35673       Pavarde35673      2.09                     
Vardas35675       Pavarde35675      2.77                     
Vardas35678       Pavarde35678      3.83                     
Vardas35684       Pavarde35684      2.14                     
Vardas35686       Pavarde35686      3.51                     
Vardas35687       Pavarde35687      3.31                     
Vardas35689       Pavarde35689      3.51                     
Vardas35690       Pavarde35690      4.54                     
Vardas35691       Pavarde35691      3.03                     
Vardas35692       Pavarde35692      4.71                     
Vardas35694       Pavarde35694      2.83                     
Vardas35698       Pavarde35698      4.80                     
Vardas35699       Pavarde35699      4.60                     
Vardas35700       Pavarde35700      3.00                     
Vardas35702       Pavarde35702      1.74                     
Vardas35703       Pavarde35703      2.26                     
Vardas35705       Pavarde35705      4.23                     
Vardas35707       Pavarde35707      3.03                     
Vardas35708       Pavarde35708      4.34                     
Vardas35709       Pavarde35709      2.89                     
Vardas35710       Pavarde35710      3.63                     
Vardas35712       Pavarde35712      2.51                     
Vardas35716       Pavarde35716      3.03                     
Vardas35719       Pavarde35719      2.49                     
Vardas35723       Pavarde35723      3.54                     
Vardas35724       Pavarde35724      4.51                     
Vardas35725       Pavarde35725      3.83                     
Vardas35727       Pavarde35727      3.14                     
Vardas35728       Pavarde35728      2.83                     
Vardas35730       Pavarde35730      3.97                     
Vardas35733       Pavarde35733      4.34                     
Vardas35734       Pavarde35734      4.06                     
Vardas35737       Pavarde35737      3.63                     
Vardas35738       Pavarde35738      4.51                     
Vardas35740       Pavarde35740      4.20                     
Vardas35741       Pavarde35741      2.63                     
Vardas35742       Pavarde35742      3.14                     
Vardas35743       Pavarde35743      4.91                     
Vardas35747       Pavarde35747      4.63                     
Vardas35748       Pavarde35748      3.23                     
Vardas35749       Pavarde35749      4.63                     
Vardas35752       Pavarde35752      4.31                     
Vardas35753       Pavarde35753      3.97                     
Vardas35755       Pavarde35755      4.37                     
Vardas35756       Pavarde35756      4.83                     
Vardas35757       Pavarde35757      3.43                     
Vardas35761       Pavarde35761      2.83                     
Vardas35768       Pavarde35768      4.97                     
Vardas35769       Pavarde35769      3.97                     
Vardas35770       Pavarde35770      2.60                     
Vardas35772       Pavarde35772      4.57                     
Vardas35775       Pavarde35775      3.71                     
Vardas35776       Pavarde35776      4.29                     
Vardas35778       Pavarde35778      4.06                     
Vardas35779       Pavarde35779      4.97                     
Vardas35787       Pavarde35787      3.51                     
Vardas35789       Pavarde35789      4.63                     
Vardas35790       Pavarde35790      2.49                     
Vardas35793       Pavarde35793      3.57                     
Vardas35794       Pavarde35794      4.43                     
Vardas35795       Pavarde35795      4.20                     
Vardas35796       Pavarde35796      4.00                     
Vardas35801       Pavarde35801      3.77                     
Vardas35808       Pavarde35808      4.89                     
Vardas35811       Pavarde35811      3.54                     
Vardas35813       Pavarde35813      4.31                     
Vardas35822       Pavarde35822      2.77                     
Vardas35823       Pavarde35823      3.74                     
Vardas35827       Pavarde35827      4.66                     
Vardas35829       Pavarde35829      4.03                     
Vardas35830       Pavarde35830      4.94                     
Vardas35832       Pavarde35832      4.66                     
Vardas35839       Pavarde35839      3.69                     
Vardas35841       Pavarde35841      4.83                     
Vardas35848       Pavarde35848      4.91                     
Vardas35849       Pavarde35849      4.00                     
Vardas35853       Pavarde35853      4.97                     
Vardas35857       Pavarde35857      4.00                     
Vardas35858       Pavarde35858      2.43                     
Vardas35861       Pavarde35861      3.51                     
Vardas35862       Pavarde35862      4.74                     
Vardas35863       Pavarde35863      3.69                     
Vardas35867       Pavarde35867      3.26                     
Vardas35868       Pavarde35868      3.49                     
Vardas35869       Pavarde35869      4.89                     
Vardas35879       Pavarde35879      4.40                     
Vardas35882       Pavarde35882      4.80                     
Vardas35885       Pavarde35885      4.94                     
Vardas35886       Pavarde35886      4.11                     
Vardas35890       Pavarde35890      4.89                     
Vardas35892       Pavarde35892      3.00                     
Vardas35893       Pavarde35893      4.54                     
Vardas35897       Pavarde35897      2.80                     
Vardas35898       Pavarde35898      2.60                     
Vardas35899       Pavarde35899      2.43                     
Vardas35902       Pavarde35902      4.60                     
Vardas35905       Pavarde35905      4.74                     
Vardas35907       Pavarde35907      4.03                     
Vardas35908       Pavarde35908      4.20                     
Vardas35909       Pavarde35909      2.94                     
Vardas35911       Pavarde35911      3.00                     
Vardas35913       Pavarde35913      2.54                     
Vardas35917       Pavarde35917      4.80                     
Vardas35919       Pavarde35919      4.46                     
Vardas35920       Pavarde35920      4.86                     
Vardas35923       Pavarde35923      1.74                     
Vardas35925       Pavarde35925      4.03                     
Vardas35926       Pavarde35926      3.86                     
Vardas35932       Pavarde35932      4.31                     
Vardas35933       Pavarde35933      4.31                     
Vardas35934       Pavarde35934      3.97                     
Vardas35936       Pavarde35936      3.26                     
Vardas35937       Pavarde35937      4.03                     
Vardas35942       Pavarde35942      4.40                     
Vardas35944       Pavarde35944      4.83                     
Vardas35946       Pavarde35946      3.40                     
Vardas35947       Pavarde35947      4.46                     
Vardas35948       Pavarde35948      3.74                     
Vardas35951       Pavarde35951      4.94                     
Vardas35955       Pavarde35955      3.94                     
Vardas35963       Pavarde35963      4.97                     
Vardas35965       Pavarde35965      2.97                     
Vardas35966       Pavarde35966      3.03                     
Vardas35967       Pavarde35967      3.60                     
Vardas35968       Pavarde35968      3.26                     
Vardas35970       Pavarde35970      4.31                     
Vardas35972       Pavarde35972      4.11                     
Vardas35976       Pavarde35976      3.26                     
Vardas35977       Pavarde35977      3.77                     
Vardas35978       Pavarde35978      2.97                     
Vardas35980       Pavarde35980      3.89                     
Vardas35981       Pavarde35981      4.66                     
Vardas35983       Pavarde35983      4.69                     
Vardas35985       Pavarde35985      3.03                     
Vardas35988       Pavarde35988      2.89                     
Vardas35993       Pavarde35993      4.91                     
Vardas35995       Pavarde35995      4.11                     
Vardas35999       Pavarde35999      2.63                     
Vardas36004       Pavarde36004      3.94                     
Vardas36006       Pavarde36006      2.26                     
Vardas36008       Pavarde36008      4.91                     
Vardas36009       Pavarde36009      3.23                     
Vardas36012       Pavarde36012      4.46                     
Vardas36013       Pavarde36013      4.83                     
Vardas36014       Pavarde36014      4.71                     
Vardas36015       Pavarde36015      3.60                     
Vardas36016       Pavarde36016      3.23                     
Vardas36017       Pavarde36017      3.74                     
Vardas36019       Pavarde36019      2.89                     
Vardas36022       Pavarde36022      2.66                     
Vardas36025       Pavarde36025      3.40                     
Vardas36027       Pavarde36027      4.20                     
Vardas36029       Pavarde36029      3.51                     
Vardas36031       Pavarde36031      4.60                     
Vardas36032       Pavarde36032      2.26                     
Vardas36034       Pavarde36034      4.91                     
Vardas36036       Pavarde36036      3.74                     
Vardas36037       Pavarde36037      4.66                     
Vardas36045       Pavarde36045      4.80                     
Vardas36047       Pavarde36047      4.77                     
Vardas36048       Pavarde36048      2.37                     
Vardas36051       Pavarde36051      2.54                     
Vardas36053       Pavarde36053      2.74                     
Vardas36054       Pavarde36054      4.77                     
Vardas36055       Pavarde36055      2.97                     
Vardas36057       Pavarde36057      2.09                     
Vardas36059       Pavarde36059      4.60                     
Vardas36060       Pavarde36060      3.80                     
Vardas36064       Pavarde36064      2.83                     
Vardas36067       Pavarde36067      3.60                     
Vardas36068       Pavarde36068      4.46                     
Vardas36071       Pavarde36071      4.14                     
Vardas36072       Pavarde36072      3.60                     
Vardas36075       Pavarde36075      3.94                     
Vardas36077       Pavarde36077      2.77                     
Vardas36079       Pavarde36079      4.77                     
Vardas36080       Pavarde36080      2.74                     
Vardas36084       Pavarde36084      2.91                     
Vardas36087       Pavarde36087      4.14                     
Vardas36091       Pavarde36091      4.94                     
Vardas36093       Pavarde36093      3.37                     
Vardas36097       Pavarde36097      3.34                     
Vardas36101       Pavarde36101      3.31                     
Vardas36105       Pavarde36105      4.29                     
Vardas36106       Pavarde36106      3.54                     
Vardas36112       Pavarde36112      4.57                     
Vardas36113       Pavarde36113      3.09                     
Vardas36114       Pavarde36114      3.86                     
Vardas36115       Pavarde36115      2.66                     
Vardas36118       Pavarde36118      4.77                     
Vardas36126       Pavarde36126      4.06                     
Vardas36128       Pavarde36128      3.17                     
Vardas36131       Pavarde36131      4.66                     
Vardas36132       Pavarde36132      3.57                     
Vardas36133       Pavarde36133      4.86                     
Vardas36138       Pavarde36138      2.91                     
Vardas36139       Pavarde36139      2.14                     
Vardas36140       Pavarde36140      4.11                     
Vardas36141       Pavarde36141      3.63                     
Vardas36142       Pavarde36142      2.66                     
Vardas36148       Pavarde36148      3.74                     
Vardas36150       Pavarde36150      3.49                     
Vardas36155       Pavarde36155      2.09                     
Vardas36156       Pavarde36156      2.37                     
Vardas36159       Pavarde36159      3.26                     
Vardas36161       Pavarde36161      3.51                     
Vardas36163       Pavarde36163      3.17                     
Vardas36165       Pavarde36165      4.97                     
Vardas36173       Pavarde36173      3.54                     
Vardas36178       Pavarde36178      4.51                     
Vardas36180       Pavarde36180      4.23                     
Vardas36182       Pavarde36182      3.37                     
Vardas36184       Pavarde36184      4.46                     
Vardas36186       Pavarde36186      2.14                     
Vardas36187       Pavarde36187      4.74                     
Vardas36189       Pavarde36189      2.97                     
Vardas36190       Pavarde36190      2.83                     
Vardas36193       Pavarde36193      3.83                     
Vardas36196       Pavarde36196      2.86                     
Vardas36197       Pavarde36197      4.57                     
Vardas36204       Pavarde36204      3.51                     
Vardas36207       Pavarde36207      4.91                     
Vardas36213       Pavarde36213      4.51                     
Vardas36215       Pavarde36215      4.11                     
Vardas36219       Pavarde36219      2.09                     
Vardas36220       Pavarde36220      4.49                     
Vardas36222       Pavarde36222      3.43                     
Vardas36224       Pavarde36224      4.49                     
Vardas36227       Pavarde36227      4.97                     
Vardas36228       Pavarde36228      4.40                     
Vardas36236       Pavarde36236      4.77                     
Vardas36239       Pavarde36239      4.09                     
Vardas36243       Pavarde36243      2.91                     
Vardas36244       Pavarde36244      2.49                     
Vardas36245       Pavarde36245      3.11                     
Vardas36248       Pavarde36248      4.89                     
Vardas36250       Pavarde36250      4.31                     
Vardas36251       Pavarde36251      1.97                     
Vardas36260       Pavarde36260      3.17                     
Vardas36261       Pavarde36261      3.11                     
Vardas36265       Pavarde36265      3.71                     
Vardas36267       Pavarde36267      3.26                     
Vardas36268       Pavarde36268      2.71                     
Vardas36269       Pavarde36269      2.80                     
Vardas36271       Pavarde36271      2.49                     
Vardas36272       Pavarde36272      4.89                     
Vardas36274       Pavarde36274      4.63                     
Vardas36275       Pavarde36275      4.83                     
Vardas36276       Pavarde36276      3.77                     
Vardas36277       Pavarde36277      4.91                     
Vardas36278       Pavarde36278      2.43                     
Vardas36280       Pavarde36280      4.49                     
Vardas36281       Pavarde36281      3.06                     
Vardas36282       Pavarde36282      4.31                     
Vardas36283       Pavarde36283      4.37                     
Vardas36284       Pavarde36284      2.86                     
Vardas36285       Pavarde36285      4.43                     
Vardas36287       Pavarde36287      4.03                     
Vardas36291       Pavarde36291      3.11                     
Vardas36297       Pavarde36297      3.97                     
Vardas36300       Pavarde36300      3.77                     
Vardas36301       Pavarde36301      3.71                     
Vardas36302       Pavarde36302      2.03                     
Vardas36304       Pavarde36304      3.86                     
Vardas36306       Pavarde36306      4.77                     
Vardas36307       Pavarde36307      4.29                     
Vardas36310       Pavarde36310      3.71                     
Vardas36311       Pavarde36311      4.20                     
Vardas36312       Pavarde36312      4.17                     
Vardas36313       Pavarde36313      3.71                     
Vardas36314       Pavarde36314      2.94                     
Vardas36316       Pavarde36316      2.37                     
Vardas36317       Pavarde36317      2.60                     
Vardas36318       Pavarde36318      3.03                     
Vardas36320       Pavarde36320      3.06                     
Vardas36323       Pavarde36323      2.86                     
Vardas36324       Pavarde36324      4.40                     
Vardas36327       Pavarde36327      3.06                     
Vardas36335       Pavarde36335      2.94                     
Vardas36336       Pavarde36336      4.37                     
Vardas36337       Pavarde36337      3.34                     
Vardas36340       Pavarde36340      4.26                     
Vardas36341       Pavarde36341      2.66                     
Vardas36345       Pavarde36345      4.14                     
Vardas36349       Pavarde36349      4.40                     
Vardas36350       Pavarde36350      2.66                     
Vardas36351       Pavarde36351      2.80                     
Vardas36352       Pavarde36352      3.06                     
Vardas36353       Pavarde36353      4.09                     
Vardas36356       Pavarde36356      4.54                     
Vardas36357       Pavarde36357      3.34                     
Vardas36360       Pavarde36360      4.26                     
Vardas36361       Pavarde36361      4.43                     
Vardas36362       Pavarde36362      2.49                     
Vardas36365       Pavarde36365      3.97                     
Vardas36366       Pavarde36366      3.17                     
Vardas36367       Pavarde36367      3.17                     
Vardas36369       Pavarde36369      4.60                     
Vardas36371       Pavarde36371      4.80                     
Vardas36374       Pavarde36374      4.40                     
Vardas36375       Pavarde36375      3.71                     
Vardas36377       Pavarde36377      2.66                     
Vardas36378       Pavarde36378      2.74                     
Vardas36380       Pavarde36380      3.60                     
Vardas36382       Pavarde36382      4.86                     
Vardas36383       Pavarde36383      3.54                     
Vardas36393       Pavarde36393      2.63                     
Vardas36398       Pavarde36398      4.80                     
Vardas36399       Pavarde36399      3.17                     
Vardas36400       Pavarde36400      4.34                     
Vardas36401       Pavarde36401      3.34                     
Vardas36402       Pavarde36402      2.89                     
Vardas36403       Pavarde36403      3.74                     
Vardas36404       Pavarde36404      4.46                     
Vardas36406       Pavarde36406      4.11                     
Vardas36408       Pavarde36408      4.26                     
Vardas36409       Pavarde36409      4.60                     
Vardas36416       Pavarde36416      2.54                     
Vardas36419       Pavarde36419      3.46                     
Vardas36423       Pavarde36423      3.31                     
Vardas36433       Pavarde36433      4.94                     
Vardas36436       Pavarde36436      3.63                     
Vardas36438       Pavarde36438      3.06                     
Vardas36439       Pavarde36439      3.06                     
Vardas36440       Pavarde36440      4.63                     
Vardas36441       Pavarde36441      2.43                     
Vardas36445       Pavarde36445      4.57                     
Vardas36447       Pavarde36447      2.54                     
Vardas36448       Pavarde36448      3.51                     
Vardas36450       Pavarde36450      4.57                     
Vardas36452       Pavarde36452      4.71                     
Vardas36455       Pavarde36455      2.14                     
Vardas36456       Pavarde36456      4.80                     
Vardas36457       Pavarde36457      2.71                     
Vardas36460       Pavarde36460      2.66                     
Vardas36462       Pavarde36462      4.63                     
Vardas36464       Pavarde36464      4.17                     
Vardas36465       Pavarde36465      4.69                     
Vardas36466       Pavarde36466      4.51                     
Vardas36467       Pavarde36467      3.49                     
Vardas36469       Pavarde36469      4.91                     
Vardas36472       Pavarde36472      4.03                     
Vardas36474       Pavarde36474      4.80                     
Vardas36476       Pavarde36476      3.43                     
Vardas36478       Pavarde36478      3.06                     
Vardas36479       Pavarde36479      4.74                     
Vardas36480       Pavarde36480      4.63                     
Vardas36485       Pavarde36485      3.57                     
Vardas36487       Pavarde36487      4.91                     
Vardas36488       Pavarde36488      4.06                     
Vardas36492       Pavarde36492      4.74                     
Vardas36493       Pavarde36493      3.17                     
Vardas36494       Pavarde36494      4.86                     
Vardas36497       Pavarde36497      3.31                     
Vardas36498       Pavarde36498      2.71                     
Vardas36499       Pavarde36499      2.83                     
Vardas36502       Pavarde36502      4.54                     
Vardas36504       Pavarde36504      3.94                     
Vardas36505       Pavarde36505      4.26                     
Vardas36506       Pavarde36506      4.83                     
Vardas36512       Pavarde36512      3.83                     
Vardas36522       Pavarde36522      2.60                     
Vardas36528       Pavarde36528      3.83                     
Vardas36529       Pavarde36529      3.17                     
Vardas36531       Pavarde36531      3.31                     
Vardas36534       Pavarde36534      3.89                     
Vardas36537       Pavarde36537      3.09                     
Vardas36538       Pavarde36538      3.00                     
Vardas36539       Pavarde36539      4.63                     
Vardas36540       Pavarde36540      4.29                     
Vardas36542       Pavarde36542      3.23                     
Vardas36543       Pavarde36543      3.86                     
Vardas36544       Pavarde36544      3.20                     
Vardas36545       Pavarde36545      4.40                     
Vardas36546       Pavarde36546      4.09                     
Vardas36547       Pavarde36547      3.49                     
Vardas36548       Pavarde36548      4.89                     
Vardas36549       Pavarde36549      4.77                     
Vardas36554       Pavarde36554      3.06                     
Vardas36558       Pavarde36558      4.11                     
Vardas36559       Pavarde36559      3.17                     
Vardas36560       Pavarde36560      4.77                     
Vardas36564       Pavarde36564      2.83                     
Vardas36566       Pavarde36566      1.86                     
Vardas36567       Pavarde36567      2.31                     
Vardas36570       Pavarde36570      4.03                     
Vardas36572       Pavarde36572      3.06                     
Vardas36573       Pavarde36573      4.69                     
Vardas36575       Pavarde36575      3.00                     
Vardas36577       Pavarde36577      4.00                     
Vardas36578       Pavarde36578      3.09                     
Vardas36582       Pavarde36582      3.20                     
Vardas36584       Pavarde36584      4.63                     
Vardas36586       Pavarde36586      3.00                     
Vardas36588       Pavarde36588      4.20                     
Vardas36590       Pavarde36590      2.66                     
Vardas36591       Pavarde36591      4.60                     
Vardas36594       Pavarde36594      3.26                     
Vardas36596       Pavarde36596      3.20                     
Vardas36598       Pavarde36598      4.94                     
Vardas36600       Pavarde36600      4.46                     
Vardas36601       Pavarde36601      3.86                     
Vardas36603       Pavarde36603      3.00                     
Vardas36605       Pavarde36605      3.43                     
Vardas36609       Pavarde36609      4.49                     
Vardas36613       Pavarde36613      3.23                     
Vardas36622       Pavarde36622      3.29                     
Vardas36623       Pavarde36623      2.46                     
Vardas36624       Pavarde36624      2.03                     
Vardas36626       Pavarde36626      2.49                     
Vardas36627       Pavarde36627      1.74                     
Vardas36634       Pavarde36634      4.09                     
Vardas36636       Pavarde36636      3.86                     
Vardas36637       Pavarde36637      3.09                     
Vardas36641       Pavarde36641      4.91                     
Vardas36645       Pavarde36645      3.29                     
Vardas36649       Pavarde36649      4.71                     
Vardas36650       Pavarde36650      3.57                     
Vardas36652       Pavarde36652      2.94                     
Vardas36655       Pavarde36655      3.40                     
Vardas36656       Pavarde36656      3.89                     
Vardas36657       Pavarde36657      4.46                     
Vardas36658       Pavarde36658      3.80                     
Vardas36659       Pavarde36659      3.31                     
Vardas36663       Pavarde36663      3.71                     
Vardas36666       Pavarde36666      2.83                     
Vardas36667       Pavarde36667      3.26                     
Vardas36670       Pavarde36670      4.31                     
Vardas36671       Pavarde36671      4.46                     
Vardas36674       Pavarde36674      3.49                     
Vardas36675       Pavarde36675      3.57                     
Vardas36677       Pavarde36677      3.60                     
Vardas36678       Pavarde36678      3.54                     
Vardas36679       Pavarde36679      3.51                     
Vardas36680       Pavarde36680      1.97                     
Vardas36681       Pavarde36681      3.86                     
Vardas36684       Pavarde36684      4.71                     
Vardas36686       Pavarde36686      4.17                     
Vardas36687       Pavarde36687      4.46                     
Vardas36688       Pavarde36688      2.54                     
Vardas36691       Pavarde36691      4.97                     
Vardas36693       Pavarde36693      4.46                     
Vardas36694       Pavarde36694      2.77                     
Vardas36695       Pavarde36695      2.80                     
Vardas36697       Pavarde36697      4.71                     
Vardas36698       Pavarde36698      3.03                     
Vardas36702       Pavarde36702      4.00                     
Vardas36703       Pavarde36703      3.49                     
Vardas36705       Pavarde36705      3.40                     
Vardas36706       Pavarde36706      1.69                     
Vardas36707       Pavarde36707      3.37                     
Vardas36708       Pavarde36708      4.06                     
Vardas36713       Pavarde36713      4.49                     
Vardas36714       Pavarde36714      3.77                     
Vardas36715       Pavarde36715      3.77                     
Vardas36716       Pavarde36716      3.86                     
Vardas36717       Pavarde36717      3.57                     
Vardas36720       Pavarde36720      2.71                     
Vardas36722       Pavarde36722      2.20                     
Vardas36724       Pavarde36724      3.26                     
Vardas36725       Pavarde36725      3.20                     
Vardas36727       Pavarde36727      4.83                     
Vardas36730       Pavarde36730      3.37                     
Vardas36732       Pavarde36732      4.54                     
Vardas36738       Pavarde36738      3.34                     
Vardas36739       Pavarde36739      3.71                     
Vardas36740       Pavarde36740      4.77                     
Vardas36741       Pavarde36741      3.97                     
Vardas36743       Pavarde36743      3.51                     
Vardas36744       Pavarde36744      3.89                     
Vardas36747       Pavarde36747      2.89                     
Vardas36748       Pavarde36748      1.74                     
Vardas36749       Pavarde36749      4.46                     
Vardas36754       Pavarde36754      4.91                     
Vardas36755       Pavarde36755      4.00                     
Vardas36756       Pavarde36756      2.66                     
Vardas36759       Pavarde36759      4.69                     
Vardas36762       Pavarde36762      4.40                     
Vardas36763       Pavarde36763      4.57                     
Vardas36766       Pavarde36766      4.66                     
Vardas36768       Pavarde36768      4.77                     
Vardas36771       Pavarde36771      3.66                     
Vardas36772       Pavarde36772      2.77                     
Vardas36774       Pavarde36774      1.86                     
Vardas36779       Pavarde36779      4.94                     
Vardas36782       Pavarde36782      2.94                     
Vardas36783       Pavarde36783      4.69                     
Vardas36786       Pavarde36786      4.34                     
Vardas36787       Pavarde36787      3.51                     
Vardas36788       Pavarde36788      4.89                     
Vardas36792       Pavarde36792      3.11                     
Vardas36802       Pavarde36802      4.57                     
Vardas36804       Pavarde36804      4.20                     
Vardas36809       Pavarde36809      3.89                     
Vardas36813       Pavarde36813      2.31                     
Vardas36814       Pavarde36814      2.31                     
Vardas36815       Pavarde36815      4.31                     
Vardas36816       Pavarde36816      2.89                     
Vardas36818       Pavarde36818      4.69                     
Vardas36819       Pavarde36819      2.97                     
Vardas36822       Pavarde36822      3.63                     
Vardas36826       Pavarde36826      3.03                     
Vardas36827       Pavarde36827      4.97                     
Vardas36829       Pavarde36829      2.60                     
Vardas36830       Pavarde36830      3.71                     
Vardas36833       Pavarde36833      3.89                     
Vardas36834       Pavarde36834      4.34                     
Vardas36835       Pavarde36835      3.11                     
Vardas36836       Pavarde36836      3.37                     
Vardas36841       Pavarde36841      4.89                     
Vardas36842       Pavarde36842      4.91                     
Vardas36844       Pavarde36844      4.11                     
Vardas36853       Pavarde36853      2.77                     
Vardas36859       Pavarde36859      3.69                     
Vardas36861       Pavarde36861      3.94                     
Vardas36862       Pavarde36862      3.74                     
Vardas36863       Pavarde36863      3.17                     
Vardas36865       Pavarde36865      3.91                     
Vardas36867       Pavarde36867      3.74                     
Vardas36869       Pavarde36869      3.74                     
Vardas36870       Pavarde36870      4.03                     
Vardas36872       Pavarde36872      4.80                     
Vardas36873       Pavarde36873      2.54                     
Vardas36875       Pavarde36875      2.66                     
Vardas36876       Pavarde36876      3.23                     
Vardas36880       Pavarde36880      3.94                     
Vardas36881       Pavarde36881      3.63                     
